Gene1,Gene2
EGR1,NFATC3
NFATC3,EGR1
EGR1,STAT3
STAT3,EGR1
EGR1,SNAI2
SNAI2,EGR1
EGR1,EZH2
EZH2,EGR1
EGR1,PHC1
NFYB,TP53
TP53,NFYB
NFYB,CIITA
CIITA,NFYB
MAPK10,DUSP4
TWIST1,WWP1
WWP1,TWIST1
TWIST1,SNAI1
SNAI1,TWIST1
TWIST1,ZEB2
ZEB2,TWIST1
TWIST1,VIM
TWIST1,FN1
TWIST1,TP53
TP53,TWIST1
TWIST1,PPARGC1B
PPARGC1B,TWIST1
TWIST1,POU5F1
POU5F1,TWIST1
TWIST1,SOX2
SOX2,TWIST1
TWIST1,TCF4
TCF4,TWIST1
TWIST1,STAT3
STAT3,TWIST1
TWIST1,ZEB1
ZEB1,TWIST1
TWIST1,SNAI2
SNAI2,TWIST1
SRSF6,YBX1
YBX1,SRSF6
SRSF6,NUP35
SRSF6,RNPS1
RNPS1,SRSF6
SRSF6,HNRNPK
HNRNPK,SRSF6
SRSF6,SF1
SF1,SRSF6
SRSF6,ELAVL2
ELAVL2,SRSF6
SRSF6,POLR2H
POLR2H,SRSF6
SRSF6,SFPQ
SFPQ,SRSF6
SRSF6,SNRPB
SNRPB,SRSF6
SRSF6,RBMX
RBMX,SRSF6
SRSF6,SRSF1
SRSF1,SRSF6
SRSF6,POLR2G
POLR2G,SRSF6
SRSF6,SRSF3
SRSF3,SRSF6
SRSF6,NUP54
SRSF6,HNRNPD
HNRNPD,SRSF6
SRSF6,POLR2D
POLR2D,SRSF6
SRSF6,ALYREF
ALYREF,SRSF6
SRSF6,SRSF10
SRSF10,SRSF6
SRSF6,SRSF2
SRSF2,SRSF6
SRSF6,POLR2F
POLR2F,SRSF6
SRSF6,POLR2K
POLR2K,SRSF6
SRSF6,FUS
FUS,SRSF6
SRSF6,SNRPD1
SNRPD1,SRSF6
SRSF6,POLR2A
POLR2A,SRSF6
SNAI1,TP53
TP53,SNAI1
SNAI1,MECOM
MECOM,SNAI1
SNAI1,SMAD2
SMAD2,SNAI1
SNAI1,PARP1
PARP1,SNAI1
SNAI1,EGF
EGF,SNAI1
SNAI1,POU5F1
POU5F1,SNAI1
SNAI1,GATAD2A
GATAD2A,SNAI1
SNAI1,EHMT2
EHMT2,SNAI1
SNAI1,SOX2
SOX2,SNAI1
SNAI1,RBBP4
RBBP4,SNAI1
SNAI1,LEF1
LEF1,SNAI1
SNAI1,STAT3
STAT3,SNAI1
SNAI1,DNMT1
DNMT1,SNAI1
SNAI1,SNAI2
SNAI2,SNAI1
SNAI1,CTNNB1
CTNNB1,SNAI1
SNAI1,VIM
SNAI1,EZH2
EZH2,SNAI1
SNAI1,PHC1
SNAI1,FN1
SNAI1,CTBP1
CTBP1,SNAI1
SOX4,TP53
TP53,SOX4
SOX4,LEF1
LEF1,SOX4
SOX4,CTNNB1
CTNNB1,SOX4
SOX4,TCF7L1
TCF7L1,SOX4
IRF1,NCAM1
IRF1,STAT2
STAT2,IRF1
IRF1,OAS1
IRF1,TP53
TP53,IRF1
IRF1,SMARCC1
SMARCC1,IRF1
IRF1,TRIM22
TRIM22,IRF1
IRF1,CIITA
CIITA,IRF1
IRF1,TLR4
TLR4,IRF1
IRF1,SMARCD1
SMARCD1,IRF1
IRF1,TRIM2
IRF1,SP100
SP100,IRF1
IRF1,STAT3
STAT3,IRF1
IRF1,TRIM25
TRIM25,IRF1
IRF1,HLA-DRB1
IRF1,POLR2A
POLR2A,IRF1
IRF1,HLA-DQB1
BMP4,HAND2
HAND2,BMP4
BMP4,SPP1
BMP4,GPC3
BMP4,MATN3
BMP4,FOXF1
FOXF1,BMP4
BMP4,SMAD2
SMAD2,BMP4
BMP4,BAMBI
BMP4,SMAD6
SMAD6,BMP4
BMP4,MEPE
BMP4,OTX2
OTX2,BMP4
BMP4,MSX1
MSX1,BMP4
BMP4,WNT5A
BMP4,TBX3
TBX3,BMP4
BMP4,CTNNB1
CTNNB1,BMP4
BMP4,GATA4
GATA4,BMP4
BMP4,BMPR1A
BMPR1A,BMP4
BMP4,FN1
BMP4,BMPER
BMP4,ZFYVE16
BMP4,TNC
BMP4,ID1
ID1,BMP4
BMP4,SHOX2
SHOX2,BMP4
BMP4,FST
BMP4,MIA3
BMP4,POU5F1
POU5F1,BMP4
BMP4,BMP2
BMP2,BMP4
BMP4,SOX17
SOX17,BMP4
BMP4,SOX2
SOX2,BMP4
BMP4,LEF1
LEF1,BMP4
BMP4,FBN1
BMP4,EOMES
EOMES,BMP4
BMP4,PRSS23
BMP4,STAT3
STAT3,BMP4
BMP4,SMAD5
SMAD5,BMP4
BMP4,DKK1
BMP4,CER1
BMP4,PENK
BMP4,LTBP1
BMP4,GATA2
GATA2,BMP4
RAD51,DLGAP5
MAML3,DLGAP5
ESPL1,DLGAP5
MCM4,DLGAP5
RBPJ,DLGAP5
MCM6,NCAPG
RAD51,NCAPG
MCM7,NCAPG
CENPK,NCAPG
MCM2,NCAPG
ESPL1,NCAPG
MCM3,NCAPG
MCM4,NCAPG
EZH2,NCAPG
UHRF1,NCAPG
GRHL2,ESRP1
GRHL2,GRHL1
GRHL1,GRHL2
GRHL2,EPCAM
GRHL2,ZEB1
ZEB1,GRHL2
ZNF764,TRIM28
TRIM28,ZNF764
JUND,MAPK10
MAPK10,JUND
TRIM28,ATRX
ATRX,TRIM28
TRIM28,ZNF398
ZNF398,TRIM28
TRIM28,ZNF30
TRIM28,CBX3
CBX3,TRIM28
TRIM28,ZNF585B
ZNF585B,TRIM28
TRIM28,ZNF589
ZNF589,TRIM28
TRIM28,ZKSCAN1
ZKSCAN1,TRIM28
TRIM28,TP53
TP53,TRIM28
TRIM28,TFDP1
TFDP1,TRIM28
TRIM28,ZNF471
ZNF471,TRIM28
TRIM28,POU5F1
POU5F1,TRIM28
TRIM28,ZNF202
ZNF202,TRIM28
TRIM28,ZNF160
ZNF160,TRIM28
TRIM28,CHAF1A
CHAF1A,TRIM28
TRIM28,ZNF587
ZNF587,TRIM28
PDCD11,NOL11
MCM7,GINS2
MCM6,GINS2
MCM2,GINS2
RAD51,GINS2
MCM3,GINS2
MCM4,GINS2
UHRF1,GINS2
FUS,YBX1
YBX1,FUS
FUS,POLR2G
POLR2G,FUS
FUS,SRSF3
SRSF3,FUS
FUS,NONO
NONO,FUS
FUS,RNPS1
RNPS1,FUS
FUS,HNRNPK
HNRNPK,FUS
FUS,HNRNPD
HNRNPD,FUS
FUS,POLR2D
POLR2D,FUS
FUS,ALYREF
ALYREF,FUS
FUS,SF1
SF1,FUS
FUS,ELAVL2
ELAVL2,FUS
FUS,POLR2H
POLR2H,FUS
FUS,SRSF10
SRSF10,FUS
FUS,SFPQ
SFPQ,FUS
FUS,SNRPB
SNRPB,FUS
FUS,SRSF2
SRSF2,FUS
FUS,POLR2F
POLR2F,FUS
FUS,POLR2K
POLR2K,FUS
FUS,ILF3
ILF3,FUS
FUS,SNRPD1
SNRPD1,FUS
FUS,RBMX
RBMX,FUS
FUS,SRSF1
SRSF1,FUS
FUS,POLR2A
POLR2A,FUS
SMARCC1,RUNX1
RUNX1,SMARCC1
SMARCC1,SMARCD3
SMARCD3,SMARCC1
SMARCC1,DPF2
DPF2,SMARCC1
SMARCC1,SMARCD1
SMARCD1,SMARCC1
SMARCC1,DNMT3A
DNMT3A,SMARCC1
SMARCC1,CHAF1A
CHAF1A,SMARCC1
SMARCC1,POLR2A
POLR2A,SMARCC1
VHL,ASB9
ASB9,VHL
VHL,WWP1
WWP1,VHL
VHL,CDC20
VHL,HIF3A
HIF3A,VHL
VHL,RNF138
VHL,PSMD9
PSMD9,VHL
VHL,LIMD1
LIMD1,VHL
VHL,MEX3C
VHL,SH3RF1
VHL,NEDD4
VHL,CUL1
VHL,LRR1
VHL,COMMD10
VHL,HIF1A
HIF1A,VHL
VHL,ASB4
ASB4,VHL
VHL,GLMN
VHL,RNF14
RNF14,VHL
VHL,RNF19A
RNF19A,VHL
VHL,POLR2A
POLR2A,VHL
BHLHE40,RORB
RORB,BHLHE40
BHLHE40,PER3
PER3,BHLHE40
BHLHE40,STAT3
STAT3,BHLHE40
BHLHE40,RMI1
BHLHE40,BLM
BMP2,FST
BMPR1A,FST
LIN28A,ZCCHC11
SRC,PDGFRA
TP53,PDGFRA
EGF,PDGFRA
PDGFA,PDGFRA
STAT3,PDGFRA
TRIM33,SEMA6A
APC,TLE1
TLE1,APC
APC,PSMD9
PSMD9,APC
APC,TLE3
TLE3,APC
APC,CUL1
APC,TLE2
TLE2,APC
APC,ASH2L
ASH2L,APC
APC,FZD5
APC,LEF1
LEF1,APC
APC,CTNNB1
CTNNB1,APC
APC,TCF7L1
TCF7L1,APC
APC,CTBP1
CTBP1,APC
TBX3,GATA3
GATA3,TBX3
TBX3,MEIS2
MEIS2,TBX3
TBX3,SHOX2
SHOX2,TBX3
TBX3,GATA6
GATA6,TBX3
TBX3,POU5F1
POU5F1,TBX3
TBX3,SOX2
SOX2,TBX3
LMO2,NHLH2
NHLH2,LMO2
LMO2,RUNX1
RUNX1,LMO2
LMO2,KDR
LMO2,GATA3
GATA3,LMO2
LMO2,POLR2G
POLR2G,LMO2
LMO2,LDB2
LDB2,LMO2
LMO2,GATA2
GATA2,LMO2
ESPL1,MCM7
MCM7,ESPL1
ESPL1,CENPK
CENPK,ESPL1
ESPL1,MCM6
MCM6,ESPL1
ESPL1,KIF15
ESPL1,NDC80
ESPL1,TTK
ESPL1,WDHD1
ESPL1,CDCA8
ESPL1,KIF23
ESPL1,PLK1
ESPL1,CEP55
ESPL1,DYNC1I1
ESPL1,CDC20
ESPL1,NUSAP1
ESPL1,CCNA2
ESPL1,ESCO2
ESPL1,PLK2
ESPL1,ERCC6L
ESPL1,CCNB2
ESPL1,MCM3
MCM3,ESPL1
ESPL1,MCM4
MCM4,ESPL1
ESPL1,BUB1B
ESPL1,DSCC1
SRSF1,U2AF1
U2AF1,SRSF1
SRSF1,YBX1
YBX1,SRSF1
SRSF1,SSB
SSB,SRSF1
SRSF1,NUP35
SRSF1,NONO
NONO,SRSF1
SRSF1,RNPS1
RNPS1,SRSF1
SRSF1,HNRNPK
HNRNPK,SRSF1
SRSF1,PSIP1
PSIP1,SRSF1
SRSF1,SF1
SF1,SRSF1
SRSF1,ELAVL2
ELAVL2,SRSF1
SRSF1,POLR2H
POLR2H,SRSF1
SRSF1,SFPQ
SFPQ,SRSF1
SRSF1,SNRPB
SNRPB,SRSF1
SRSF1,HNRNPAB
HNRNPAB,SRSF1
SRSF1,ILF3
ILF3,SRSF1
SRSF1,RBMX
RBMX,SRSF1
SRSF1,POLR2G
POLR2G,SRSF1
SRSF1,SRSF3
SRSF3,SRSF1
SRSF1,NUP54
SRSF1,HNRNPD
HNRNPD,SRSF1
SRSF1,KHSRP
KHSRP,SRSF1
SRSF1,POLR2D
POLR2D,SRSF1
SRSF1,ALYREF
ALYREF,SRSF1
SRSF1,ILF2
ILF2,SRSF1
SRSF1,SRSF10
SRSF10,SRSF1
SRSF1,SRSF2
SRSF2,SRSF1
SRSF1,POLR2F
POLR2F,SRSF1
SRSF1,POLR2K
POLR2K,SRSF1
SRSF1,RBM14
RBM14,SRSF1
SRSF1,SNRPD1
SNRPD1,SRSF1
SRSF1,SAP18
SAP18,SRSF1
SRSF1,POLR2A
POLR2A,SRSF1
KAT7,MCM2
MCM2,KAT7
KAT7,PLK1
KAT7,AR
AR,KAT7
POU5F1,ZIC3
ZIC3,POU5F1
POU5F1,FOXD3
FOXD3,POU5F1
POU5F1,SMAD2
SMAD2,POU5F1
POU5F1,PBX1
PBX1,POU5F1
POU5F1,THY1
POU5F1,EPCAM
POU5F1,OTX2
OTX2,POU5F1
POU5F1,SOX3
SOX3,POU5F1
POU5F1,ZEB2
ZEB2,POU5F1
POU5F1,PROM1
POU5F1,NR0B1
NR0B1,POU5F1
POU5F1,DNMT3B
DNMT3B,POU5F1
POU5F1,CTNNB1
CTNNB1,POU5F1
POU5F1,GATA4
GATA4,POU5F1
POU5F1,EWSR1
EWSR1,POU5F1
POU5F1,MYCN
MYCN,POU5F1
POU5F1,ZFP42
ZFP42,POU5F1
POU5F1,WDR5
WDR5,POU5F1
POU5F1,TP53
TP53,POU5F1
POU5F1,GATA6
GATA6,POU5F1
POU5F1,LIN28A
LIN28A,POU5F1
POU5F1,EHMT2
EHMT2,POU5F1
POU5F1,SOX17
SOX17,POU5F1
POU5F1,SOX2
SOX2,POU5F1
POU5F1,TCF4
TCF4,POU5F1
POU5F1,STAT3
STAT3,POU5F1
POU5F1,DNMT1
DNMT1,POU5F1
POU5F1,ZEB1
ZEB1,POU5F1
