Gene1,Gene2
JUN,PROCR
JUN,PSMC2
JUN,PTGS1
JUN,PTPRS
JUN,RAB37
JUN,RAP1B
JUN,REXO2
JUN,SCARF1
JUN,SDC4
JUN,SHISA5
JUN,SLC20A1
JUN,SMARCA2
JUN,TLE2
JUN,TLR4
JUN,TMEM33
JUN,TRAP1
JUN,TUBA4A
JUN,VDR
JUN,WSB1
JUN,ZFP36
MAML3,HDAC7
MAML3,MYC
MAPK12,IL12A
MAPK1,IL12A
MCM2,ASF1B
MCM2,ATAD2
MCM2,AURKA
MCM2,AURKB
MCM2,BIRC5
MCM2,BUB1B
MCM2,CCNA2
MCM2,CCNB1
MCM2,CCNB2
MCM2,CDC20
MCM2,CDC45
MCM2,CDC7
MCM2,CDCA5
MCM2,CDCA7
MCM2,CDK1
MCM2,CDKN1A
MCM2,CDT1
MCM2,CENPA
MCM2,CENPE
MCM2,CEP55
MCM2,CKAP2
MCM2,CKS1B
MCM2,CKS2
MCM2,DNAJC9
MCM2,EMB
MCM2,FBXO5
MCM2,FIGNL1
MCM2,H2AFX
MCM2,HMGB2
MCM2,KIF11
MCM2,KIF22
MCM2,LIG1
MCM2,MCM10
MCM2,MCM3
MCM2,MCM4
MCM2,MCM6
MCM2,MCM7
MCM2,MKI67
MCM2,MSH6
MCM2,NASP
MCM2,NCAPG
MCM2,NCAPG2
MCM2,NCAPH
MCM2,NDC80
MCM2,ORC2
MCM2,ORC6
MCM2,PBK
MCM2,POLA2
MCM2,POLD1
MCM2,POLE
MCM2,PRIM1
MCM2,PRIM2
MCM2,RACGAP1
MCM2,RB1
MCM2,RPA1
MCM2,RPA2
MCM2,RRM1
MCM2,RRM2
MCM2,SHCBP1
MCM2,SLBP
MCM2,SPC25
MCM2,TIPIN
MCM2,TK1
MCM2,TOP2A
MCM2,TPX2
MCM2,TYMS
MCM2,UBE2C
MCM2,UHRF1
MCM3,ASF1B
MCM3,ATAD2
MCM3,AURKA
MCM3,AURKB
MCM3,BIRC5
MCM3,BUB1B
MCM3,CCNA2
MCM3,CCNB1
MCM3,CCNB2
MCM3,CDC20
MCM3,CDC45
MCM3,CDC7
MCM3,CDCA5
MCM3,CDCA7
MCM3,CDK1
MCM3,CDKN1A
MCM3,CDT1
MCM3,CENPA
MCM3,CEP55
MCM3,CKAP2
MCM3,CKS1B
MCM3,CKS2
MCM3,FBXO5
MCM3,FIGNL1
MCM3,H2AFX
MCM3,HMGB2
MCM3,KIF11
MCM3,KIF20B
MCM3,KIF22
MCM3,LIG1
MCM3,MCM10
MCM3,MCM2
MCM3,MCM4
MCM3,MCM6
MCM3,MCM7
MCM3,MKI67
MCM3,MSH6
MCM3,NASP
MCM3,NCAPG
MCM3,NCAPG2
MCM3,NCAPH
MCM3,NDC80
MCM3,ORC2
MCM3,ORC6
MCM3,PBK
MCM3,POLA2
MCM3,POLD1
MCM3,POLE
MCM3,PRIM1
MCM3,PRIM2
MCM3,RACGAP1
MCM3,RB1
MCM3,RPA1
MCM3,RPA2
MCM3,RRM1
MCM3,RRM2
MCM3,SHCBP1
MCM3,SLBP
MCM3,SPC25
MCM3,TIPIN
MCM3,TK1
MCM3,TOP2A
MCM3,TPX2
MCM3,TYMS
MCM3,UBE2C
MCM3,UHRF1
MCM4,ASF1B
MCM4,ATAD2
MCM4,AURKA
MCM4,AURKB
MCM4,BIRC5
MCM4,BUB1B
MCM4,CCNA2
MCM4,CCNB1
MCM4,CCNB2
MCM4,CDC20
MCM4,CDC45
MCM4,CDC7
MCM4,CDCA5
MCM4,CDCA7
MCM4,CDK1
MCM4,CDKN1A
MCM4,CDT1
MCM4,CKS1B
MCM4,CKS2
MCM4,CSE1L
MCM4,DNAJC9
MCM4,FBXO5
MCM4,FIGNL1
MCM4,HMGB2
MCM4,KIF11
MCM4,KIF22
MCM4,LIG1
MCM4,MCM10
MCM4,MCM2
MCM4,MCM3
MCM4,MCM6
MCM4,MCM7
MCM4,MKI67
MCM4,MSH6
MCM4,NASP
MCM4,NCAPG
MCM4,NCAPG2
MCM4,NCAPH
MCM4,NDC80
MCM4,ORC2
MCM4,ORC6
MCM4,PBK
MCM4,POLA2
MCM4,POLD1
MCM4,POLE
MCM4,PRIM1
MCM4,PRIM2
MCM4,RACGAP1
MCM4,RB1
MCM4,RPA1
MCM4,RPA2
MCM4,RRM1
MCM4,RRM2
MCM4,SHCBP1
MCM4,SLBP
MCM4,TIPIN
MCM4,TK1
MCM4,TOP2A
MCM4,TPX2
MCM4,TYMS
MCM4,UHRF1
MCM5,CDC45
MCM5,CDC7
MCM5,ORC2
MCM5,ORC6
MCM6,ASF1B
MCM6,ATAD2
MCM6,AURKA
MCM6,AURKB
MCM6,BIRC5
MCM6,BUB1B
MCM6,CCNA2
MCM6,CCNB1
MCM6,CCNB2
MCM6,CDC20
MCM6,CDC45
MCM6,CDC7
MCM6,CDCA5
MCM6,CDK1
MCM6,CDKN1A
MCM6,CDT1
MCM6,CENPA
MCM6,CEP55
MCM6,CKAP2
MCM6,CKS1B
MCM6,CKS2
MCM6,FBXO5
MCM6,FIGNL1
MCM6,HMGB2
MCM6,KIF11
MCM6,KIF20B
MCM6,KIF22
MCM6,LIG1
MCM6,MCM10
MCM6,MCM2
MCM6,MCM3
MCM6,MCM4
MCM6,MCM7
MCM6,MKI67
MCM6,MSH6
MCM6,NCAPG
MCM6,NCAPG2
MCM6,NCAPH
MCM6,NDC80
MCM6,ORC2
MCM6,ORC6
MCM6,PBK
MCM6,POLA2
MCM6,POLD1
MCM6,POLE
MCM6,PRIM1
MCM6,PRIM2
MCM6,RACGAP1
MCM6,RB1
MCM6,RPA1
MCM6,RPA2
MCM6,RRM1
MCM6,RRM2
MCM6,SHCBP1
MCM6,SLBP
MCM6,SPC25
MCM6,TIPIN
MCM6,TK1
MCM6,TOP2A
MCM6,TPX2
MCM6,TYMS
MCM6,UBE2C
MCM6,UHRF1
MCM7,ASF1B
MCM7,AURKA
MCM7,AURKB
MCM7,BIRC5
MCM7,BUB1B
MCM7,CCNA2
MCM7,CCNB1
MCM7,CCNB2
MCM7,CDC20
MCM7,CDC45
MCM7,CDC7
MCM7,CDCA5
MCM7,CDCA7
MCM7,CDK1
MCM7,CDKN1A
MCM7,CDT1
MCM7,CENPA
MCM7,CEP55
MCM7,CKAP2
MCM7,CKS1B
MCM7,CKS2
MCM7,DNAJC9
MCM7,FIGNL1
MCM7,H2AFX
MCM7,HMGB2
MCM7,KIF11
MCM7,KIF22
MCM7,LIG1
MCM7,MCM10
MCM7,MCM2
MCM7,MCM3
MCM7,MCM4
MCM7,MCM6
MCM7,MKI67
MCM7,MSH6
MCM7,NASP
MCM7,NCAPG
MCM7,NCAPG2
MCM7,NCAPH
MCM7,NDC80
MCM7,ORC2
MCM7,ORC6
MCM7,PBK
MCM7,POLA2
MCM7,POLD1
MCM7,POLE
MCM7,PRIM1
MCM7,PRIM2
MCM7,RACGAP1
MCM7,RB1
MCM7,RPA1
MCM7,RPA2
MCM7,RRM1
MCM7,RRM2
MCM7,SHCBP1
MCM7,SLBP
MCM7,SPC25
MCM7,TIPIN
MCM7,TK1
MCM7,TOP2A
MCM7,TPX2
MCM7,TYMS
MCM7,UBE2C
MCM7,UHRF1
MECOM,AFAP1L1
MECOM,BUB1
MECOM,CKAP5
MECOM,ELP2
MECOM,EPAS1
MECOM,FBXW11
MECOM,FOXO1
MECOM,GNG11
MECOM,GP9
MECOM,HDAC2
MECOM,IDH1
MECOM,JARID2
MECOM,KCNK5
MECOM,KCTD12
MECOM,KLF6
MECOM,LMO4
MECOM,MGAT1
MECOM,MYCT1
MECOM,PA2G4
MECOM,PDE4B
MECOM,PIM2
MECOM,RELB
MECOM,RGS1
MECOM,RUNX1T1
MECOM,SALL2
MECOM,SATB1
MECOM,SLC16A1
MECOM,ST8SIA4
MECOM,SUPV3L1
MECOM,TRPS1
MECOM,TSPAN14
MECOM,USP37
MECOM,VKORC1L1
MECOM,VPS35
MEIS1,ANGPT1
MEIS1,ARRDC4
MEIS1,CLTC
MEIS1,EFTUD2
MEIS1,EIF1AD
MEIS1,EIF2S1
MEIS1,EIF4ENIF1
MEIS1,FBXO5
MEIS1,FCHO2
MEIS1,H2AFX
MEIS1,IFRD2
MEIS1,NDN
MEIS1,OSBPL8
MEIS1,PBX1
MEIS1,PIK3R1
MEIS1,PIM2
MEIS1,POLR2B
MEIS1,PSME3
MEIS1,RB1
MEIS1,RNF38
MEIS1,SATB1
MEIS1,SESN1
MEIS1,SMARCA2
MEIS1,STT3B
MEIS1,SYK
MEIS1,SYNJ1
MEIS1,TXNDC11
MEIS1,ZEB2
MIS18BP1,CCNB1
MIS18BP1,CENPA
MIS18BP1,CENPK
MIS18BP1,CENPO
MIS18BP1,CEP55
MIS18BP1,KIF11
MIS18BP1,SHCBP1
MIS18BP1,TPX2
MYB,ADK
MYB,AGPS
MYB,APLP2
MYB,ASF1B
MYB,ATAD1
MYB,AURKA
MYB,BCL2
MYB,CDC20
MYB,CDCA8
MYB,CDK1
MYB,CKAP2L
MYB,CLTC
MYB,DDX39
MYB,DNAJC10
MYB,ELANE
MYB,ERLIN1
MYB,ETF1
MYB,FAM102B
MYB,FGFR1OP
MYB,FLOT2
MYB,GANAB
MYB,GYS1
MYB,H2AFX
MYB,HDC
MYB,IDH3A
MYB,ITCH
MYB,JARID2
MYB,LMO4
MYB,MAGED1
MYB,MCM7
MYB,METTL7A1
MYB,MIR17HG
MYB,MPO
MYB,MTCH2
MYB,NEAT1
MYB,NUF2
MYB,OBSL1
MYB,OTUD6B
MYB,PAK1
MYB,PNO1
MYB,PPM1G
MYB,PRMT5
MYB,PTGS1
MYB,PTPN7
MYB,RARB
MYB,REXO2
MYB,RNF38
MYB,RUNX1T1
MYB,RUVBL2
MYB,SESN1
MYB,SETD2
MYB,SH3BGRL
MYB,SNX30
MYB,SORT1
MYB,SPC24
MYB,TACC3
MYB,TBC1D10C
MYB,TESPA1
MYB,TMEM97
MYB,TOP2A
MYB,UPP1
MYB,URB2
MYB,USP11
MYB,ZBTB16
MYB,ZNRF2
MYC,ABCE1
MYC,ABL1
MYC,ADK
MYC,AI506816
MYC,ALDH18A1
MYC,ANGPT1
MYC,AP1S2
MYC,ARFGEF2
MYC,ARRDC4
MYC,ATF7
MYC,AURKA
MYC,BCAP29
MYC,BIRC5
MYC,BYSL
MYC,CBX5
MYC,CCNE2
MYC,CD63
MYC,CDCA8
MYC,CDK6
MYC,CENPK
MYC,CKS1B
MYC,CTSL
MYC,CUL3
MYC,DDX21
MYC,DNTT
MYC,DUSP1
MYC,EFTUD2
MYC,EIF1AD
MYC,EIF2S1
MYC,EIF3B
MYC,EIF4ENIF1
MYC,ERCC8
MYC,EZR
MYC,FARSB
MYC,FGFR1OP
MYC,FLT3
MYC,FOXRED1
MYC,GCLC
MYC,GLRX5
MYC,GMIP
MYC,GNL3
MYC,GNS
MYC,GTF2H1
MYC,H2-DMA
MYC,HDGF
MYC,HEXA
MYC,HNRNPAB
MYC,HYOU1
MYC,IARS
MYC,IFI30
MYC,IFRD2
MYC,IRF9
MYC,ITCH
MYC,LRRC59
MYC,MAML3
MYC,MAPK1
MYC,MAPK12
MYC,MDN1
MYC,MFNG
MYC,MFSD10
MYC,MIR17HG
MYC,MTHFD1
MYC,MXD3
MYC,MYCT1
MYCN,ABCE1
MYCN,ABL2
MYCN,ACOX1
MYCN,ADK
MYCN,ADO
MYCN,AI506816
MYCN,ALDH18A1
MYCN,ATF7
MYCN,AURKA
MYCN,AURKB
MYCN,BCAP29
MYCN,BTK
MYCN,BUB1B
MYCN,CAD
MYCN,CBX5
MYCN,CBX7
MYCN,CCNE2
MYCN,CD63
MYCN,CDCA7
MYCN,CDK1
MYCN,CDT1
MYCN,CHCHD10
MYCN,CHRNB1
MYCN,CKAP2
MYCN,CLTC
MYCN,CSE1L
MYCN,CTSF
MYCN,CTSL
MYCN,DCAF13
MYCN,DDX21
MYCN,DDX39
MYCN,DENND2D
MYCN,DHX33
MYCN,DPP8
MYCN,DTL
MYC,NDUFS1
MYCN,EEF1E1
MYCN,EFTUD2
MYCN,EIF1AD
MYCN,EIF3B
MYCN,EIF4ENIF1
MYCN,ENPP5
MYCN,EPRS
MYCN,ERCC8
MYCN,ERGIC1
MYCN,EZR
MYCN,FAM76B
MYCN,FARSB
MYCN,FASTKD2
MYCN,FASTKD3
MYC,NFAT5
MYCN,FGFR1OP
MYC,NFKBIA
MYCN,GCLC
MYCN,GLB1
MYCN,GMFB
MYCN,GNL3
MYCN,GOLIM4
MYCN,GPD1L
MYCN,GTF2H1
MYCN,H2-DMA
MYCN,HAT1
MYCN,HDGF
MYCN,HEXA
MYCN,HIF3A
MYCN,HNRNPAB
MYCN,HSPA4
MYCN,HYOU1
MYCN,IARS
MYCN,ICAM1
MYCN,IFI30
MYCN,IFRD2
MYCN,ITSN1
MYCN,KCNK5
MYCN,LAP3
MYCN,LIG1
MYCN,LONP1
MYCN,MCM2
MYC,NMD3
MYCN,MDN1
MYCN,ME2
MYCN,METAP1
MYCN,MFSD1
MYCN,MFSD10
MYCN,MIR17HG
MYCN,MTHFD1
MYCN,MTUS1
MYCN,MXD3
MYCN,MYO5A
MYCN,NAA50
MYCN,NADK
MYCN,NDUFS1
MYCN,NFATC2
MYCN,NFKBIA
MYCN,NMD3
MYCN,NOL9
MYCN,NOP2
MYCN,NPTN
MYCN,NUDT19
MYCN,NUP93
MYCN,NUPR1
MYCN,ODC1
MYC,NOL9
MYC,NOP2
MYCN,OSBPL1A
MYCN,OTUD4
MYCN,PA2G4
MYCN,PDIA4
MYCN,PFKFB3
MYCN,PNO1
MYCN,POLE
MYCN,POLR1B
MYCN,PPAT
MYCN,PPID
MYCN,PRC1
MYCN,PRMT7
MYCN,PRODH
MYCN,PSMC2
MYCN,PSME3
MYC,NPTN
MYCN,PTPRS
MYCN,PUS7
MYCN,PWP2
MYCN,RANGAP1
MYCN,RCC1
MYCN,REXO2
MYCN,RGS19
MYCN,RHOF
MYCN,RNF4
MYCN,RPN1
MYCN,SEH1L
MYCN,SF3B3
MYCN,SGMS1
MYCN,SHMT1
MYCN,SLC16A1
MYCN,SLC19A1
MYCN,SLC20A1
MYCN,SLC26A2
MYCN,SLC29A1
MYCN,SLC35E1
MYCN,SNHG5
MYCN,SOCS2
MYCN,SRM
MYCN,STRAP
MYCN,STT3B
MYCN,SUPV3L1
MYCN,TAF12
MYCN,TARS
MYCN,TEX10
MYCN,TFRC
MYCN,THADA
MYCN,TIMM50
MYCN,TMEM97
MYCN,TNFRSF21
MYCN,TNPO1
MYCN,TOMM70A
MYCN,TOPORS
MYCN,TRMT11
MYCN,TRMT6
MYCN,TSC22D1
MYCN,TYMS
MYCN,UBE2C
MYCN,UHRF1
MYC,NUP93
MYC,NUPR1
MYCN,URB2
MYCN,VKORC1L1
MYCN,VPS16
MYCN,WDR4
MYCN,WDR43
MYCN,WDR5
MYCN,WDR55
MYCN,YBX1
MYCN,ZFP451
MYCN,ZFP53
MYCN,ZNRF2
MYC,OBSCN
MYC,PA2G4
MYC,PLA2G12A
MYC,POLA2
MYC,POLR1B
MYC,PPAT
MYC,PPID
MYC,PRC1
MYC,PRDM16
MYC,PRMT7
MYC,PSAT1
MYC,PSME3
MYC,PTPRS
MYC,PUS7
MYC,RANGAP1
MYC,RB1
MYC,RELB
MYC,REXO2
MYC,RNF4
MYC,RTEL1
MYC,SEC23IP
MYC,SGPP1
MYC,SHMT1
MYC,SLC20A1
MYC,SLC29A1
MYC,SOCS2
MYC,SPNS2
MYC,SRM
MYC,SRSF1
MYC,STRAP
MYC,STT3B
MYC,SUPV3L1
MYC,TAF12
MYC,TARS
MYC,TEX10
MYC,TFRC
MYC,TIMM50
MYC,TIMP2
MYC,TMEM246
MYC,TMEM43
MYC,TMEM97
MYC,TNFRSF21
MYC,TNPO1
MYC,TRIM16
MYC,TRMT6
MYC,TUBA4A
MYC,TYMS
MYC,UBE2C
MYC,UHRF1
MYC,UNC93B1
MYC,VKORC1L1
MYC,VPS16
MYC,WDR4
MYC,WDR43
MYC,YBX1
MYC,ZFP451
MYC,ZNRF2
NDN,E2F4
NDN,HCFC1
NDN,MAGED1
NDN,MCM10
NDN,NCAPH
NFAT5,MAPK12
NFATC2,GLRX5
NFATC2,MAPK12
NFATC2,MFSD10
NFATC2,MTMR4
NFATC2,NR3C2
NFATC2,PPP1CB
NFATC2,SATB1
NFATC2,TFG
NFE2,ERCC8
NFE2,GTF2H1
NFE2,ORC2
NFE2,POLR2B
NFE2,WDR5
NFE2,ZDHHC6
NFKBIA,FBXW11
NFKBIA,ICAM1
NFKBIA,REL
NFKBIA,RELB
NFKBIA,TAB1
NR3C2,ATP1B3
ORC2,BIRC5
ORC2,BUB1B
ORC2,CCNB1
ORC2,CDC6
ORC2,CDC7
ORC2,CDK1
ORC2,CDKN1A
ORC2,CDT1
ORC2,CENPA
ORC2,MCM10
ORC2,MCM2
ORC2,MCM3
ORC2,MCM4
ORC2,MCM5
ORC2,MCM6
ORC2,MCM7
ORC2,MIS12
ORC2,NDC80
ORC2,NFE2
ORC2,ORC6
ORC2,POLA2
ORC2,POLE
ORC2,PRIM1
ORC2,RB1
ORC2,RPA1
ORC2,RPA2
ORC2,SPC25
PA2G4,BYSL
PA2G4,EIF2S1
PA2G4,FARSA
PA2G4,FTSJ3
PA2G4,NOP2
PA2G4,PNO1
PA2G4,PRMT5
PA2G4,PWP2
PA2G4,SRM
PBX1,MEIS1
PHF10,SMARCA2
POLR1B,BYSL
POLR1B,CTPS
POLR1B,FTSJ3
POLR1B,NOP2
POLR1B,PNO1
POLR1B,PWP2
POLR2B,ABCE1
POLR2B,CSE1L
POLR2B,CSTF2
POLR2B,CTPS
POLR2B,EFTUD2
POLR2B,ERCC8
POLR2B,GTF2F1
POLR2B,NFE2
POLR2B,PRPF4
POLR2B,SF3B3
POLR2B,SNRNP200
POLR2B,SRSF1
POLR2B,UBA2
RARB,H1F0
RARB,NPDC1
RARB,TGM2
RB1,ABL1
RB1,CCNA2
RB1,CCNE2
RB1,CDK1
RB1,CDK6
RB1,CDT1
RB1,E2F4
RB1,HDAC2
RB1,JARID2
RB1,MCM2
RB1,MCM3
RB1,MCM4
RB1,MCM6
RB1,MCM7
RB1,MYC
RB1,ORC2
RB1,ORC6
RB1,PPP1CB
RELB,CDKN1A
RELB,ICAM1
RELB,NFKBIA
REL,CD74
REL,CUL3
REL,EFTUD2
REL,FOXO1
REL,GNL3
REL,GRINA
REL,GT(ROSA)26SOR
REL,ICAM1
REL,IFRD2
REL,JARID2
REL,MIR17HG
REL,MOGS
REL,NCF1
REL,NFAT5
REL,NFKBIA
REL,NMD3
REL,PGLYRP2
REL,RELB
REL,SDC4
REL,TOR3A
RNF4,TRPS1
RORC,CUL3
RORC,IL17RA
RORC,VDR
RUNX1T1,CSF1R
RUVBL2,CTR9
SATB1,ZBTB16
SMARCA2,ARID2
SMARCA2,HDAC2
SMARCA2,IKZF1
SMARCA2,JUN
SMARCA2,PHF10
SNRPB,DDX20
SNRPB,PRMT5
SPO11,RPA1
SPO11,RPA2
SPO11,TOP3B
SRSF1,CSTF2
SRSF1,EFTUD2
SRSF1,GTF2F1
SRSF1,POLR2B
SRSF1,PRPF4
