Gene1	Gene2	EdgeWeight
CTNNB1	TRIM2	0.014110418036580087
CTNNB1	SRSF10	0.014101167209446432
CTNNB1	OTX2	0.01409532595425844
CTNNB1	POU5F1	0.014095262624323368
CTNNB1	EGR1	0.014095173217356203
CTNNB1	COL4A6	0.014093053527176382
CTNNB1	ERBB4	0.01408620458096266
CTNNB1	CCDC80	0.014083067886531353
CTNNB1	KAT7	0.014077078551053999
CTNNB1	HNRNPD	0.014069779776036741
CTNNB1	TFE3	0.014065416529774666
TP53	PIP4K2A	0.01405266113579273
CTNNB1	LRRCC1	0.0140520092099905
CTNNB1	RBFOX2	0.014047165401279926
EOMES	FST	0.014041288755834104
CTNNB1	ZNF589	0.014040159992873669
CTNNB1	DPF2	0.014030086807906628
POU5F1	ETV4	0.014027871191501616
CTNNB1	SF1	0.01402471587061882
CTNNB1	RMI1	0.014017053879797459
CTNNB1	MLLT6	0.014014975167810915
CTNNB1	ZNF471	0.014011474326252936
CTNNB1	MRPS30	0.013996529392898084
CTNNB1	KLF8	0.013996400870382786
CTNNB1	BCL11A	0.013986581936478615
CTNNB1	SH3BGRL	0.013983100652694702
CTNNB1	NR3C1	0.013973959721624851
TRIM28	POLR2A	0.01396395731717348
TP53	STAT2	0.013961867429316044
CTNNB1	COL1A2	0.013961845077574251
CTNNB1	CCDC141	0.013961798511445522
CTNNB1	ZNF398	0.013960782438516615
CTNNB1	XRCC5	0.013956102542579174
CTNNB1	ST8SIA1	0.013949912041425705
CTNNB1	UPF1	0.013948111794888972
CTNNB1	OXTR	0.013945643790066242
CTNNB1	TRIP6	0.01394488662481308
CTNNB1	PAWR	0.013934818096458912
CTNNB1	PPARA	0.01392934750765562
EOMES	PCDH10	0.013925203122198582
CTNNB1	ARID3A	0.013916860334575176
CTNNB1	PARP1	0.0139164412394166
CTNNB1	HELZ	0.01390985678881407
CTNNB1	NR2C1	0.013908704742789268
CTNNB1	POLR2K	0.013896439224481584
CTNNB1	TIMP3	0.013896141201257706
CTNNB1	GYPB	0.013893814757466316
CTNNB1	MME	0.0138919735327363
CTNNB1	RGS5	0.013890192843973637
CTNNB1	CENPK	0.013887518085539341
CTNNB1	GYPA	0.013884094543755054
CTNNB1	DEK	0.013880629092454909
CTNNB1	TLE3	0.01388008613139391
TRIM28	CCND1	0.013876129873096943
CTNNB1	CD200	0.013876086100935936
CTNNB1	YBX1	0.013868522830307484
CTNNB1	BRWD1	0.013867070898413658
CTNNB1	FXR1	0.013864722102880478
CTNNB1	WWTR1	0.013864312320947649
JUND	ARID3A	0.01385763846337795
CTNNB1	TSPAN12	0.013849017210304735
CTNNB1	MED14	0.01384860835969448
CTNNB1	GATAD2A	0.013845467939972878
CTNNB1	FOXK1	0.013842630200088024
CTNNB1	DLGAP5	0.013837090693414213
CTNNB1	ZRANB2	0.013832979835569859
EOMES	WLS	0.013822483830153942
CTNNB1	FUS	0.01381472498178482
CTNNB1	PREPL	0.013806773349642755
CTNNB1	FOXP1	0.013803117908537388
CTNNB1	SRSF1	0.013803026638925077
CTNNB1	HMGA1	0.013800862245261671
CTNNB1	SMARCD1	0.01379922591149807
CTNNB1	TCEA1	0.013793054036796093
POU5F1	LIN28A	0.013791985809803007
CTNNB1	TMEM64	0.013783733360469341
CTNNB1	BNIP3	0.013779398053884506
TP53	NONO	0.013777147047221659
CTNNB1	SAMD3	0.013773578219115734
CTNNB1	POLR1B	0.01376609317958355
CTNNB1	DNMT3B	0.013765156269073486
NANOG	SFRP2	0.01376264076679945
CTNNB1	KLHL24	0.013757058419287205
NANOG	NLGN4X	0.013741858303546906
CTNNB1	SAP18	0.013716451823711395
NANOG	EPCAM	0.013716221787035464
CTNNB1	ZNF24	0.013714486733078957
CTNNB1	YPEL5	0.013710481114685535
CTNNB1	TDRD7	0.013707423582673071
CTNNB1	HIF3A	0.013707309029996395
CTNNB1	RAVER2	0.013705966994166374
CTNNB1	SERHL2	0.01370401494204998
CTNNB1	WWP1	0.01369874645024538
TP53	ZIC2	0.013696827925741673
PRDM1	SOX17	0.013695796020329
CTNNB1	ARHGAP28	0.013691790401935577
CTNNB1	WDR3	0.013689983636140823
CTNNB1	ACOX3	0.013688958249986172
TRIM28	EWSR1	0.013673837296664715
TRIM28	YBX1	0.013672417961061
CTNNB1	PATZ1	0.013668919913470743
CTNNB1	SUPT7L	0.013663998804986477
CTNNB1	TRPS1	0.013663945719599724
CTNNB1	APC	0.01366349495947361
CTNNB1	SLC35A3	0.013658159412443638
TRIM28	LIN28A	0.01365484297275543
CTNNB1	SCD5	0.01365089137107134
TRIM28	HMGN2	0.013624881394207478
NANOG	PTPRZ1	0.0136216189712286
CTNNB1	MAFG	0.013615688309073448
CTNNB1	ID3	0.013614206574857237
CTNNB1	DDX54	0.01361071690917015
CTNNB1	TNC	0.013609932735562323
CTNNB1	CNTRL	0.013603741303086279
CTNNB1	ARID4B	0.013600763864815235
CTNNB1	UHRF1	0.013599818572402
CTNNB1	SRSF2	0.013598641380667686
EOMES	CA2	0.013597325421869757
TRIM28	ALYREF	0.013597276993095877
TRIM28	PTMA	0.013594296760857105
CTNNB1	SNRPD1	0.013592740520834923
CTNNB1	SATB1	0.013592165894806385
CTNNB1	JPH1	0.013589182868599892
CTNNB1	ZNF764	0.013582315295934677
CTNNB1	LTBP1	0.013579878956079485
TP53	NANOG	0.013578076846897602
NANOG	LIN28A	0.013576156459748743
CTNNB1	APEX1	0.013565674424171448
NANOG	LRAT	0.013563772663474085
CTNNB1	FN1	0.013558074831962584
CTNNB1	CEBPZ	0.01355616841465235
CTNNB1	PALLD	0.013553425669670105
CTNNB1	CCPG1	0.013552878051996231
CTNNB1	CA14	0.01354972179979086
CTNNB1	DKK1	0.01354563795030117
TRIM28	PDCD11	0.013540969230234623
CTNNB1	DNMT1	0.013533436693251131
NANOG	AK4	0.01353328302502632
CTNNB1	NAP1L3	0.013529594987630844
CTNNB1	NFIB	0.01352926343679428
CTNNB1	SFPQ	0.01352258399128914
TP53	FAM117B	0.013522480614483356
CTNNB1	PMAIP1	0.013508758507668972
CTNNB1	GNG11	0.01350875198841095
CTNNB1	MXD4	0.01350773498415947
CTNNB1	GCA	0.01349947229027748
CTNNB1	LMX1B	0.01349815633147955
CTNNB1	UTP15	0.013494427315890787
CTNNB1	MANEA	0.013491586782038212
CTNNB1	AFF1	0.01348910853266716
TP53	APBB2	0.013476257212460041
CTNNB1	CCDC82	0.013475292362272741
CTNNB1	KLHL6	0.01347495336085558
NANOG	KAT7	0.013474881649017334
CTNNB1	ZNF512	0.01347123272716999
CTNNB1	VHL	0.013466917909681795
CTNNB1	XRN1	0.013466425240039824
CTNNB1	MBIP	0.0134627316147089
CTNNB1	ZNF165	0.01345940213650465
CTNNB1	FST	0.01345900073647499
CTNNB1	HAS2	0.013456178829073906
CTNNB1	ABLIM1	0.013448514975607395
CTNNB1	CALB1	0.013448464684188366
CTNNB1	ANKRD50	0.013444583863019943
POU5F1	ZFP42	0.01344442181289196
CTNNB1	HNRNPAB	0.013442846946418284
TRIM28	SMARCD1	0.013437402434647085
CTNNB1	APOBEC3C	0.013436676003038885
CTNNB1	MAML3	0.013436639681458471
TRIM28	ILF3	0.013434972614049913
CTNNB1	ANKRD26	0.013432353734970093
CTNNB1	TRUB1	0.01343081146478653
CTNNB1	SSB	0.013429737649857998
EOMES	SLC39A8	0.013427628204226494
CTNNB1	FARSB	0.013420724309980871
CTNNB1	UTP18	0.01341756246984005
NANOG	SEMA3A	0.013413839973509312
CTNNB1	CAP2	0.013410217128694056
JUND	MSX1	0.013409066945314407
TP53	POU5F1	0.013404229655861856
NANOG	ID1	0.013403751887381077
EOMES	GATA3	0.01340025570243597
CTNNB1	BUB1B	0.01339644007384777
CTNNB1	SNRPB	0.013395723886787891
TP53	SRSF6	0.0133950337767601
CTNNB1	CLDN10	0.01339030172675848
POU5F1	SPIB	0.013383699581027031
CTNNB1	CD9	0.013382779434323309
NANOG	ETV1	0.01338195614516735
POU5F1	ID3	0.013379042968153955
CTNNB1	PGR	0.013374301604926586
CTNNB1	SEMA5A	0.013374102301895618
TRIM28	HNRNPAB	0.013372196815907957
CTNNB1	KRCC1	0.013372162356972694
POU5F1	BMPR1A	0.01337111834436655
CTNNB1	MCM4	0.01336062140762806
CTNNB1	FBXO34	0.013359831646084784
CTNNB1	GINS2	0.013356556184589865
CTNNB1	ANKRD28	0.013353618793189527
TRIM28	TCOF1	0.01335224509239197
CTNNB1	SMAD6	0.0133457463234663
CTNNB1	HDGF	0.013344705104827879
CTNNB1	COL5A2	0.01334298588335514
POU5F1	FUS	0.013342486694455149
CTNNB1	DTL	0.013336025178432465
CTNNB1	MCM5	0.013327960856258871
TRIM28	TRIP6	0.013326710090041159
CTNNB1	NFIC	0.01331931073218584
CTNNB1	PRMT6	0.01331007294356823
CTNNB1	KLHL4	0.013309878297150137
CTNNB1	HTRA1	0.013299627229571342
TP53	MIF	0.01329660601913929
CTNNB1	ZFHX3	0.013287792913615705
CTNNB1	ETV4	0.013287131674587728
CTNNB1	USP44	0.013285513035953043
CTNNB1	TGFBR3	0.013272198848426342
POU5F1	MIF	0.013270611874759196
CTNNB1	U2AF1	0.013270583003759384
NANOG	BMPR1A	0.013268819078803062
CTNNB1	POLR3G	0.013259043917059898
CTNNB1	ESRP1	0.013256245292723179
CTNNB1	CEP290	0.013242379762232305
CTNNB1	TRAF6	0.013240482658147812
CTNNB1	TTK	0.013237799517810343
CTNNB1	POLR1A	0.013233802281320095
CTNNB1	ZNF518B	0.013229934498667715
NANOG	ETV4	0.013219102285802364
NANOG	CTNNB1	0.013218860141932964
NANOG	CD9	0.013217424973845482
CTNNB1	ARL4D	0.013216824270784857
NANOG	POLR2I	0.013216794468462469
CTNNB1	BTBD10	0.013215779326856136
CTNNB1	THY1	0.013211366720497608
EOMES	HAS2	0.013208070769906044
POU5F1	TRIM28	0.013204162940382956
CTNNB1	CRHBP	0.013204149901866913
NANOG	FUS	0.0132007310166955
NANOG	PDGFA	0.013195442967116831
CTNNB1	ILF3	0.01319197379052639
TRIM28	HDGF	0.013191868551075459
TP53	ZFP42	0.013190308585762978
CTNNB1	NFKBIA	0.01318815816193819
CTNNB1	TCF4	0.013180843554437159
CTNNB1	PLSCR4	0.01318008080124855
CTNNB1	MAP4K3	0.01317836157977581
CTNNB1	MBOAT1	0.013178048655390741
CTNNB1	RPE	0.01317590195685625
POU5F1	TP53	0.013168057426810265
CTNNB1	RAI1	0.01316705159842968
CTNNB1	SIRT1	0.013166051357984545
CTNNB1	SUPT16H	0.013159518130123615
CTNNB1	SORL1	0.013158023357391356
CTNNB1	UNC5D	0.013157046400010586
TRIM28	MCM2	0.013155368156731129
CTNNB1	GLDC	0.013155103661119938
CTNNB1	CSDE1	0.01315440237522125
NANOG	CLDN10	0.013150524348020555
CTNNB1	ZNF160	0.013150220736861229
CTNNB1	MCCC1	0.013149882666766644
CTNNB1	ALG6	0.013148994185030459
TP53	JUND	0.013148150406777859
NANOG	TP53	0.01314284186810255
TP53	NT5DC3	0.013140690512955187
TRIM28	CTNNB1	0.013140426017343998
EOMES	MFAP4	0.013136372901499271
CTNNB1	DNAAF2	0.01313626114279032
CTNNB1	GLRX	0.013135711662471294
NANOG	SLC35F1	0.013133614324033259
CTNNB1	ARL4A	0.013133354485034944
NANOG	PHC1	0.013132652267813684
CTNNB1	SFRP2	0.013131466694176195
CTNNB1	ANKRD1	0.013127722777426245
CTNNB1	ZFYVE16	0.013125689700245856
POU5F1	PHC1	0.013122913427650928
CTNNB1	ASH2L	0.013122012838721277
TP53	SFRP1	0.01311565563082695
POU5F1	ZIC2	0.013114659115672113
CTNNB1	CBR1	0.013113087043166159
CTNNB1	NCOA6	0.013112319633364677
POU5F1	ID1	0.013112051412463188
CTNNB1	SH3RF1	0.01310922298580408
CTNNB1	ELMO1	0.013107349164783956
CTNNB1	ITM2A	0.01310661155730486
NANOG	GABRB3	0.013105773366987705
CTNNB1	LDB2	0.013104711659252644
CTNNB1	POLR2I	0.013101312331855295
CTNNB1	XRCC6	0.01310058869421482
TP53	STK17B	0.013098753988742828
CTNNB1	SERTAD2	0.013095767237246037
CTNNB1	MCM3	0.013093656860291958
CTNNB1	CUL1	0.01308088842779398
CTNNB1	TEX10	0.013079014606773852
CTNNB1	TJP2	0.013078567571938038
CTNNB1	GDAP1	0.01307618897408247
SOX2	HESX1	0.013071059249341488
CTNNB1	PRKACB	0.013069618493318558
CTNNB1	SYNE2	0.013064072467386724
NANOG	SFRP1	0.013060650788247584
CTNNB1	SMARCC1	0.013060390017926693
TRIM28	MAFG	0.013052865862846376
NANOG	ZIC2	0.013051793910562992
CTNNB1	MRPL1	0.013051324523985386
CTNNB1	PSMD9	0.013051176443696022
CTNNB1	ESRRG	0.013043249025940895
CTNNB1	TCOF1	0.013037359341979029
CTNNB1	FREM1	0.013036844320595264
CTNNB1	SMG6	0.013027729466557504
CTNNB1	RFXANK	0.013025378808379172
CTNNB1	SERPINE2	0.013024390675127506
TRIM28	GATAD2A	0.01302335225045681
CTNNB1	SNAPC3	0.013020070269703863
CTNNB1	PLAGL2	0.013017631135880949
CTNNB1	PARN	0.013016319833695887
CTNNB1	DYNC2LI1	0.013014649972319605
CTNNB1	ETS1	0.013013217598199844
CTNNB1	EPB41L3	0.01301239337772131
TRIM28	HNRNPK	0.013011487200856207
EOMES	SIPA1L2	0.013006210327148438
CTNNB1	CHL1	0.012998630292713642
CTNNB1	MECOM	0.012992964126169682
CTNNB1	EXO1	0.012991439551115036
TRIM28	MIF	0.012988737784326077
SOX2	SIX6	0.012986844405531885
TRIM28	HNRNPD	0.01298628281801939
TP53	POLR2D	0.0129857761785388
EOMES	GATA6	0.012983241118490696
TP53	DAXX	0.012979034334421158
TFAP2A	ID1	0.012974349781870842
TRIM28	POU5F1	0.012973707169294356
TP53	DDAH1	0.012973185628652573
TRIM28	DDX54	0.012967579998075962
CTNNB1	NDC80	0.01296077761799097
CTNNB1	MLLT3	0.012957519851624966
NANOG	ZNF398	0.01295535359531641
CTNNB1	AKAP2	0.012954275123775005
CTNNB1	SLC6A15	0.012953625991940498
POU5F1	KAT7	0.012953327037394049
TRIM28	RNPS1	0.0129465339705348
TRIM28	ODC1	0.012945813126862049
CTNNB1	CYP26A1	0.012944991700351238
CTNNB1	NFATC3	0.012942103669047356
JUND	CTBP1	0.012939278967678549
CTNNB1	COMMD10	0.012938229367136957
POU5F1	AK4	0.012937603518366814
CTNNB1	POLR2G	0.012937263585627079
JUND	WLS	0.012934665195643902
CTNNB1	KDR	0.012929731048643587
TRIM28	TP53	0.012926076538860798
CTNNB1	SMAD5	0.01292509213089943
CTNNB1	ANKRD13C	0.01292220875620842
CTNNB1	SLA2	0.012916982173919678
CTNNB1	E2F4	0.012915052473545073
CTNNB1	GTF3C4	0.012914679944515228
CTNNB1	MYBL2	0.012913397513329984
CTNNB1	FLRT2	0.012912455946207048
CTNNB1	MCC	0.012909144163131714
CTNNB1	CDCA7L	0.012902118265628816
CTNNB1	SLC36A4	0.012901723384857178
POU5F1	EPCAM	0.012893663719296455
CTNNB1	GRPR	0.012893588282167913
CTNNB1	PGM2	0.012893514707684515
NANOG	TLE1	0.012889744713902472
POU5F1	HMGA1	0.012885789386928082
NANOG	NONO	0.012883257120847702
NANOG	ARID3B	0.012878092005848885
NANOG	JMJD1C	0.012876643799245358
CTNNB1	RRAS2	0.01287616230547428
CTNNB1	ZNF146	0.012868847697973251
TP53	TRIM33	0.012867718935012816
POU5F1	CD9	0.012866748496890068
TP53	ABCA1	0.012864334508776665
EOMES	GABRB2	0.012863777577877043
CTNNB1	DNAJC2	0.012859895825386049
CTNNB1	ELMOD2	0.012859703041613102
EOMES	GRPR	0.012859134934842588
CTNNB1	SOX13	0.012858884409070015
POU5F1	SLC39A8	0.01285505574196577
TP53	GATAD2A	0.012852859683334827
CTNNB1	SNX18	0.012850555591285229
POU5F1	ODC1	0.012848789803683758
CTNNB1	ITGA5	0.01284379418939352
POU5F1	NLGN4X	0.012839638628065586
TRIM28	TRIM27	0.012835271656513214
CTNNB1	DEPDC1B	0.012835024856030941
CTNNB1	CCDC81	0.012833593413233757
TRIM28	UPF1	0.012832255102694036
TP53	IGDCC4	0.012829501181840895
JUND	ALYREF	0.012828527018427849
NANOG	FZD5	0.012827979400753977
CTNNB1	NUDT11	0.012824872508645058
TP53	SEMA3A	0.012820511125028132
CTNNB1	ERCC6L	0.012807605788111687
CTNNB1	ETV3	0.012802676297724249
CTNNB1	VASH2	0.012802473269402979
CTNNB1	ZNF202	0.012800510041415691
CTNNB1	TADA1	0.01279991026967764
NANOG	GLMN	0.012799139134585856
TP53	AK4	0.01279879454523325
NANOG	EHMT2	0.01279587671160698
TRIM28	VHL	0.012793509289622309
CTNNB1	POLR2F	0.012791451066732408
CTNNB1	ARHGAP29	0.012790082022547722
CTNNB1	RALB	0.012788308784365654
CTNNB1	WDFY1	0.012782282195985315
CTNNB1	MAFF	0.012777937576174736
POU5F1	YBX1	0.012768235057592392
NANOG	SALL2	0.012767592445015907
CTNNB1	BTG2	0.012762036174535751
CTNNB1	RTKN2	0.01275761052966118
CTNNB1	PLK2	0.012749034911394121
TP53	MDM4	0.012746787630021572
PRDM1	TDRD7	0.012741150334477423
TP53	TRIM28	0.012736672535538672
CTNNB1	UPF2	0.012735543772578241
NANOG	DPYSL3	0.012733307667076588
CTNNB1	POLR1C	0.012731213122606276
POU5F1	LRAT	0.012730919755995274
CTNNB1	SLC39A8	0.012729164212942123
CTNNB1	B4GALT4	0.012729013338685036
POU5F1	HCFC1	0.012726097367703916
TP53	DPYSL3	0.012722895480692388
NANOG	TRIP6	0.012719547376036644
GATA3	BAMBI	0.012712433934211731
CTNNB1	FAM135A	0.012710550799965858
CTNNB1	EMB	0.012704893946647644
CTNNB1	SIPA1L2	0.012703116983175278
TP53	PSIP1	0.012701600790023805
CTNNB1	MCM6	0.01270157378166914
CTNNB1	ECI2	0.012699568644165993
CTNNB1	QPCT	0.012696083635091782
TP53	PPARA	0.012695903889834879
CTNNB1	SOX7	0.012692207470536232
CTNNB1	EHMT2	0.012691808864474295
NANOG	WDR35	0.01269080489873886
CTNNB1	DAXX	0.01268915180116892
CTNNB1	PLOD2	0.012687932699918749
NANOG	MAP4K3	0.012680619023740292
CTNNB1	RRN3	0.012679783627390863
POU5F1	GABRB3	0.012678937055170536
POU5F1	POLR3G	0.01267352607101202
CTNNB1	RAD51AP1	0.01267098914831877
CTNNB1	MEX3C	0.0126707861199975
CTNNB1	PRSS35	0.0126707348972559
CTNNB1	KIAA1324L	0.012669467367231846
TP53	DNMT3B	0.012668195180594921
TP53	DNMT1	0.01266579143702984
TRIM28	SRC	0.012664482928812506
PRDM1	GLRX	0.012663492001593113
CTNNB1	TLR4	0.012653853744268416
CTNNB1	VIM	0.012649658136069776
CTNNB1	KDM6A	0.01264774240553379
POU5F1	SLA2	0.012646832503378393
CTNNB1	MYCN	0.012645692564547062
TP53	PPP1R9A	0.012645678594708444
CTNNB1	AGPAT5	0.01263869646936655
TP53	KHSRP	0.012633535079658031
POU5F1	DNMT3B	0.012633142992854118
CTNNB1	TMF1	0.012627268210053444
CTNNB1	ZKSCAN1	0.01262633316218853
TRIM28	PBX1	0.012625828385353087
TP53	NAA15	0.012618708424270151
TP53	AES	0.012615581974387169
POU5F1	NTS	0.012615559622645378
CTNNB1	TP53INP1	0.012614870443940164
TRIM28	SRSF1	0.012612135149538515
EOMES	SEMA3E	0.012606812641024591
TRIM28	AGPAT5	0.012605654075741768
CTNNB1	EZH2	0.012602821923792362
CTNNB1	INSIG2	0.012599381618201731
JUND	AES	0.012599042616784573
CTNNB1	HIST1H1B	0.012598312459886074
CTNNB1	POLR2H	0.012597857043147087
NANOG	DNMT3B	0.012597812339663506
CTNNB1	RIN2	0.012597513385117054
CTNNB1	LGALSL	0.012592392042279243
NANOG	ZDHHC21	0.012590572237968443
CTNNB1	ITPR2	0.012587292119860649
EOMES	NTS	0.0125856576487422
TRIM28	UTP18	0.012584392912685871
NANOG	RNF13	0.0125832911580801
NANOG	ANKRD28	0.012582029215991495
CTNNB1	ARHGAP42	0.01257771160453558
CTNNB1	RAD51	0.012576202861964704
TP53	CHAF1A	0.012576117180287838
TP53	HMGN2	0.012574849650263786
EOMES	CYP1B1	0.0125748198479414
POU5F1	ASNS	0.012569662183523178
JUND	KHSRP	0.01256033591926098
CTNNB1	LZTS1	0.012559636496007442
EOMES	SERPINE2	0.012558059766888618
CTNNB1	RND3	0.012555506080389023
EOMES	SLCO2A1	0.012555381283164023
CTNNB1	ANGPT2	0.012554087676107885
CTNNB1	TIPARP	0.012546001002192496
NANOG	ZNF585B	0.012545397505164145
CTNNB1	CDC7	0.012543847784399986
CTNNB1	WNT5A	0.012541370466351507
CTNNB1	PDCD11	0.01254111435264349
TP53	FZD5	0.012539098970592022
NANOG	FOXN3	0.012537927366793156
TRIM28	FOXH1	0.012537447735667229
